"name","research_field1","research_field2","research_field3","research_field4","research_field5","research_field6"
"Souza-Rodrigues, Eduardo","Environmental economics","Industrial organization","Econometrics","","",""
"St. Onge, Peter","","","","","",""
"Stabile, Mark","","","","","",""
"Staub, Kalina","Labour economics","","","","Economics of the Family",""
"Steinberg, Joseph","Macroeconomics","International economics","","","",""
"Stenmetz, Alex","","","","","",""
"Stepner, Michael","Public economics","Health economics","","","",""
"Stewart, Colin","Microeconomic theory","Behavioral Economics","","","",""
"Strange, William","Public economics","Microeconomic theory","Urban economics","","",""
"Sun, Jeffrey","Environmental economics","","","Climate economics","Computational methods",""
"Tabord-Meehan, Max","Econometrics","","","","",""
"Tian, Xu","Financial economics","","","Corporate Finance","Financial Intermediation","Macroeconomics"
"Trebilcock, Michael","Law and economics","","","","",""
"Trefler, Daniel","International economics","Economic development","","Technology and productivity","",""
"Tsoy, Anton","Financial economics","Microeconomic theory","","","",""
"Tuohy, Carolyn","","","","","",""
"Turner, Matthew","Environmental economics","Urban economics","Political economy","","",""
"Ugarte-Bravo, Karen","Health economics","Econometrics","","","",""
"Van Effenterre, Clementine","Labour economics","","","","",""
"Vellekoop, Nathanael","Macroeconomics","Financial economics","","","",""
"Vipond, Robert","","","","","",""
"Vivalt, Eva","Labour economics","","","Development economics","",""
"Wan, Yuanyuan","Econometrics","","","","",""
"Wang, Tianyi","Political economy","Economic history","Health economics","Labor economics","",""
"Ward, Courtney","","","","","",""
"Waverman, Leonard","","","","","",""
"Webb, Ryan","","","","","",""
"Weisbrod, Aaron","","","","","",""
"Williams, Joseph Jay","","","","","",""
"Wilson, Thomas A.","Macroeconomics","Industrial organization","Public economics","","",""
"Wolthoff, Ronald","Macroeconomics","Labour economics","","","",""
"Yang, Liyan","","","","","",""
"Yatchew, Adonis","Econometrics","Applied econometrics","","Energy economics","Regulatory economics",""
"Yu, Kathleen","Labour economics","Health economics","","","",""
"Zammit, Nicholas","","","","","",""
"Zarate, Roman","Economic development","Labour economics","","","",""
"Zezerova, Viktoriia","International economics","","","","",""
"Zhang, Lijun","","","","","",""
"Zhao, Yingnan","Macroeconomics","Financial economics","","Banking","",""
"Zhu, Xiaodong","","","","","",""
